epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,556.323,1.10386,1.00995,1.41665,0.87999,0.73674,0.83054,0.56414,1.20642,1.18689,1.66174,0.000990365,0.000990365,0.000990365
43,570.668,1.09179,0.98323,1.39175,0.8909,0.71688,0.84425,0.57795,1.16233,1.17376,1.59724,0.000973861,0.000973861,0.000973861
44,584.882,1.07983,1.00841,1.41023,0.87087,0.81859,0.86128,0.54311,1.34084,1.15371,1.73195,0.000957358,0.000957358,0.000957358
45,598.834,1.10863,1.00456,1.41274,0.90182,0.7862,0.87594,0.60529,1.12008,1.0796,1.51414,0.000940855,0.000940855,0.000940855
46,612.653,1.06594,0.94066,1.37182,0.86052,0.76493,0.8597,0.57901,1.14877,1.20201,1.55061,0.000924352,0.000924352,0.000924352
47,626.462,1.04392,0.94266,1.36629,0.7545,0.81297,0.81432,0.59083,1.05126,1.07475,1.45881,0.000907848,0.000907848,0.000907848
48,640.363,1.07678,0.9884,1.38571,0.85666,0.80213,0.87468,0.61419,1.08376,1.06443,1.48994,0.000891345,0.000891345,0.000891345
49,654.338,1.04052,0.95466,1.36673,0.7366,0.87224,0.86819,0.59598,1.15482,1.16011,1.6026,0.000874842,0.000874842,0.000874842
50,667.637,1.04406,0.93013,1.3642,0.74661,0.80748,0.84411,0.55978,1.22469,1.28524,1.67972,0.000858338,0.000858338,0.000858338
51,679.354,1.03404,0.90283,1.35781,0.90148,0.85784,0.87772,0.64152,0.99416,1.01335,1.41471,0.000841835,0.000841835,0.000841835
52,691.847,1.04978,0.92875,1.36214,0.85943,0.73812,0.84081,0.59683,1.09112,1.23061,1.4502,0.000825332,0.000825332,0.000825332
53,705.869,1.02476,0.90435,1.35109,0.93882,0.80972,0.88897,0.6268,1.0593,1.00927,1.51645,0.000808828,0.000808828,0.000808828
54,720.76,1.04142,0.92513,1.39377,0.87124,0.82251,0.8516,0.56857,1.23096,1.04487,1.67674,0.000792325,0.000792325,0.000792325
55,734.399,1.00748,0.8677,1.33129,0.82234,0.7858,0.86809,0.61077,1.18722,1.09942,1.63101,0.000775822,0.000775822,0.000775822
56,746.393,0.99298,0.85656,1.31269,0.84736,0.83022,0.87747,0.61707,1.04094,1.01203,1.44353,0.000759318,0.000759318,0.000759318
57,758.389,1.01053,0.90693,1.35245,0.89497,0.83391,0.87778,0.61818,1.17389,1.08081,1.56545,0.000742815,0.000742815,0.000742815
58,770.159,0.96755,0.86356,1.31195,0.75434,0.85806,0.86076,0.61816,1.08989,1.09507,1.46157,0.000726312,0.000726312,0.000726312
59,782.394,0.97498,0.86532,1.32052,0.80657,0.80381,0.87261,0.61692,1.12321,1.12066,1.57092,0.000709809,0.000709809,0.000709809
60,795.313,0.98441,0.86719,1.33332,0.84304,0.83391,0.88378,0.61676,1.0762,1.07727,1.51211,0.000693305,0.000693305,0.000693305
61,807.616,0.95798,0.82975,1.3039,0.82905,0.78603,0.8434,0.60726,1.16242,1.14714,1.56865,0.000676802,0.000676802,0.000676802
62,819.585,0.92328,0.80104,1.28824,0.85654,0.7375,0.85947,0.60283,1.1238,1.19914,1.57649,0.000660299,0.000660299,0.000660299
63,831.805,0.95653,0.78846,1.29582,0.94138,0.80657,0.91077,0.64784,1.03753,0.88465,1.41295,0.000643795,0.000643795,0.000643795
64,843.765,0.97164,0.82889,1.30923,0.91851,0.70432,0.87847,0.62918,1.10113,1.09465,1.49948,0.000627292,0.000627292,0.000627292
65,855.672,0.92645,0.79504,1.28603,0.74282,0.86163,0.87444,0.61976,1.22219,1.11652,1.64718,0.000610789,0.000610789,0.000610789
66,867.721,0.94325,0.79495,1.29671,0.78986,0.81555,0.87177,0.60593,1.12449,0.9888,1.51855,0.000594286,0.000594286,0.000594286
67,880.06,0.93719,0.81366,1.28686,0.85414,0.7419,0.87497,0.60662,1.1619,1.27961,1.51423,0.000577782,0.000577782,0.000577782
68,892.266,0.94946,0.77955,1.29802,0.91625,0.76493,0.88963,0.64875,1.05557,0.93757,1.50541,0.000561279,0.000561279,0.000561279
69,904.298,0.90846,0.74861,1.27827,0.91331,0.77061,0.88437,0.63697,1.09041,0.84899,1.54394,0.000544776,0.000544776,0.000544776
70,917.36,0.92376,0.80648,1.287,0.87544,0.75185,0.89206,0.64809,1.10259,1.12699,1.50169,0.000528272,0.000528272,0.000528272
71,929.595,0.90727,0.73263,1.26273,0.8192,0.83732,0.89155,0.61973,1.0493,1.12433,1.4024,0.000511769,0.000511769,0.000511769
72,941.798,0.89137,0.76703,1.26543,0.81822,0.83049,0.88932,0.63062,1.11441,1.0076,1.53884,0.000495266,0.000495266,0.000495266
73,954.12,0.93032,0.78469,1.29216,0.83829,0.7458,0.86843,0.59983,1.23083,1.25994,1.66279,0.000478762,0.000478762,0.000478762
74,966.203,0.89256,0.72478,1.26021,0.88603,0.78106,0.89574,0.64132,1.03461,1.12033,1.45142,0.000462259,0.000462259,0.000462259
75,978.83,0.8934,0.72002,1.24938,0.91786,0.86497,0.89791,0.6172,1.13929,0.94842,1.57135,0.000445756,0.000445756,0.000445756
76,990.938,0.86822,0.71498,1.24869,0.84699,0.82115,0.89035,0.65299,1.01398,0.89462,1.41395,0.000429253,0.000429253,0.000429253
77,1002.96,0.88033,0.71987,1.25057,0.86211,0.77415,0.87743,0.65019,1.081,1.11865,1.48045,0.000412749,0.000412749,0.000412749
78,1015.06,0.86293,0.71068,1.24556,0.86495,0.85013,0.90037,0.6571,1.03178,0.83647,1.47502,0.000396246,0.000396246,0.000396246
79,1026.79,0.8776,0.70545,1.24047,0.87535,0.81644,0.90856,0.67113,1.14558,0.91525,1.61815,0.000379743,0.000379743,0.000379743
80,1038.67,0.84428,0.72763,1.23228,0.85964,0.82757,0.90982,0.68127,1.01991,0.95927,1.47143,0.000363239,0.000363239,0.000363239
81,1050.67,0.84261,0.68911,1.22487,0.94027,0.85404,0.9041,0.65255,1.04334,0.95897,1.49525,0.000346736,0.000346736,0.000346736
